Equipment Code,Code SH,Description,Quantity,Stock Code
E-03.15,342500598.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAGON Dia.:1""- 8 UNC,Long.:8"",Mat.:SA-193 B7",1.0,74C41
E-03.15,493062631.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE              Dia.Nom:6"",Serie:600#,ASME-B16.20,Mat:316/Graphit",4.0,31N21
E-03.15,586011001.0,"BOUCHON MALE A TETE HEXAGONALE  Dia.Nom:1-3/8"", Longueur:1-7/8"", Mat.:A105(CarbonSteel)",1.0,14Z31
E-03.15,,,,
G-03.14,342500016.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:5/8""-11 UNC,Long.:4.1/4"",Mat.:SA-193 B7",16.0,
G-03.14,342500595.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAGON Dia.:1""- 8 UNC,Long.:6.3/4"",Mat.:SA-193 B7",24.0,74B10
G-03.14,493060317.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:2"",S/N:300/400/600 #,Mat:316/Graphité",3.0,30S31
G-03.14,493062631.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE              Dia.Nom:6"",Serie:600#,ASME-B16.20,Mat:316/Graphit",4.0,31N21
G-03.14,,,,
E-05.15,342500025.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG   Dia:3/4""-10 UNC,Long:4.1/2"",Mat:SA-193 B7",32.0,
E-05.15,342500026.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:3/4""-10 UNC,Long.:4.3/4"",Mat.:SA-193 B7",32.0,
E-05.15,356191302.0,"ANODE Ep.:3"" ,Larg.:6"" ,Long.:12"", Mat.:ASTM B6.77",1.0,D2M2-3
E-05.15,493060122.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:2"", Serie:150 #, Mat.:316/Graphité",1.0,30O41
E-05.15,493060128.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:4"", Serie:150 #, API601, Mat.:Inox.316L/Graphité",2.0,30O44/54
E-05.15,493060319.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:3"",Serie:300/400/600#,API60I,Mat:316/Grap",2.0,30T31
E-05.15,493062114.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:1-1/2"",Serie:150#,API601,Mat:316L/Graphit",2.0,30N44
E-05.15,771287022.0,"JOINT AVEC BARRE CENTRALE 3/8"" Dia.Ext.:17 3/4"",Dia.Int.:17"",Ep.:1/16"",Mat: Non Amiante",2.0,54P32
E-05.15,771287020.0,"JOINT AVEC DOUBLE  BARRE 3/8"" Dia.Ext.:17-3/4"" Dia.Int.:17"",Ep.:1/16"",Mat:NonAmiante",2.0,54P31
E-05.15,,,,
E724,398500122.0,"BOUCHON DE TUBE, FORME CONIQUE  Dim.: 3/4""-15-22,7/8"" 11-14, Mat.: CuNi 70/30,ASTM B151 Sans Soudure",2.0,LC6I20
E724,401708100.0,"VANNE  A PAPILLON                   Dessin:32-908, Dia.Nom.:4"", Serie: 150#  , Mat.:C/I A126",2.0,83L34
E724,797096307.0,"TUBE DROIT ASTM  D1785 Dia.:Nom.:4"",Schedule:40",1.0,
E724,777875031.0,"JOINT D'EXPANSION Dia.Int.:4"" , Lg :6"" , (Boulons D'assemblage = 5/8""x12"" Lg)",12.0,C1B51
E724,777870146.0,"JOINT PLAT A FACE PLEINE (F.F) Dia.Nom.:4"", Ep.:3 /16"", Serie:150#, Mat.:J.M104(Néopréne)",2.0,27R21
E724,453175033.0,"FILTRE , Type : ""Y"" Dia.4"", Serie : 150#, FF , Mat.: Bronze ASTM B 62 , Alliage uns C-83600",2.0,83I21
E724,463150601.0,"Tubes droit,Mat.:70/30 Cu Ni SB-111-C715,Ep.:1.24mm / Lg.:4.88M, Nbrof Tubes:152,Dia.: OD:19.05mm",152.0,S.17
E724,493060304.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:4"", Serie : 300 #, Mat.:316/Graphité",1.0,30T32
E724,493060316.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:1-1/2,S/N:300/400/600#,API601,Mat:316",2.0,30O32
E724,493060319.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:3"",Serie:300/400/600#,API60I,Mat:316/Grap",1.0,30T31
E724,493062114.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:1-1/2"",Serie:150#,API601,Mat:316L/Graphit",2.0,30N44
E724,495000421.0,"JOINT METALLOPLASTIQUE  Dia.Ext.:18 3/4"", Dia.Int.:18"", Ep.:1/8"", Mat.: Amiante",1.0,54U30
E724,495000422.0,"JOINT METALLOPLASTIQUE  Dia.Ext.: 20 3/4"", Dia.Int.: 20"", Ep.: 1/8"", Mat.:acier",1.0,54T40
E724,495000424.0,"JOINT METALLOPLASTIQUE AVEC 2 BARRES 5/16"" Dia.Ext.:18 3/4"", Dia.Int.:18"", Ep.:1/8"", Mat:non Amianté",2.0,54U20
E724,495000425.0,"JOINT METALLOPLASTIQUE AVEC BARRE CENTRALE 5/16"" Dia.Ext.:15 11/16"", Dia.Int.:14 15/16"", Ep.:1/8""",1.0,54V20
E724,,,,
E-07.39,463131002.0,"SEALING RING, MAT: SOLID SOFT STEEL",4.0,79B33A
E-07.39,493060316.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:1-1/2,S/N:300/400/600#,API601,Mat:316",2.0,30O32
E-07.39,493060126.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:3"",Serie:150 #, Mat.:Inox.316/Grapité",2.0,30O43
E-07.39,463131007.0,JOINT-RETURN BONNET                              Mat.: GRAFOIL ST,1.0,28O33
E-07.39,463131003.0,"JOINT DE TUBE, MAT: GRAFOIL STYLE GHP",4.0,52O32C
E-07.39,463131001.0,"JOINT( BOITE DE RETOUR) Dia.Nom:3"", Ep:5/64"", Série:150, Mat.:Graphoil Style:GHP",1.0,28O34
E-07.39,,,,
E-07.58,771230060.0,"JOINT PLAT A FACE PLEINE                       Dia.Nom.:3"",Ep.:1/16"",Serie:125/150#,Mat.:Non Amiante",2.0,26N32
E-07.58,33204410030.0,"BRIDE A SOUDER EN BOUT A FACE PLEINE Dia.Nom.:2"", Serie :150# , Sch.:40(Std) , Mat.:A105",2.0,21O41
E-07.58,33206011030.0,"BRIDE A SOUDER EN BOUT A FACE SURELEVEE Dia.Nom.:3"", Serie :150#,Sch.:40(Std), Mat.:A105",2.0,20U30
E-07.58,33550606110.0,"REDUCTION CONCENTRIQUE  3"" X 2"" SCH 80 BW          SEAMLESS CS ASTM A234 WPB",2.0,18R34
E-07.58,771230058.0,"JOINT PLAT A FACE PLEINE   Dia.Nom.:2"",Ep.:1/16"",Serie:125/150#,Mat.:Non Amiante",2.0,26S32
E-07.58,398734701.0,"BAGUETTE DE SOUDURE,  Dia.:1/8"", Spec :ASME-SFA.5.14)",1.0,LC1A30
E-07.58,401709100.0,"VANNE A PAPILLON, Type :Sandwich a oreilles traudees commande manuelle,Diam :3"" (DN80),Serie :150,",2.0,81M53
E-07.58,453175033.0,"FILTRE , Type : ""Y"" Dia.4"", Serie : 150#, FF , Mat.: Bronze ASTM B 62 , Alliage uns C-83600",2.0,83I21
